"自動実行","自動実行"
"リリー","Lily"
"シィナ","Shina"
"アーコイベ用","アーコイベ用"
"ライム","Lime"
"自動実行カギ","自動実行カギ"
"\n<リリー>あ、シィナあんた。
ちゃんと鍵掛けた？","\n<Lily>Oh Shina, you're back.
Did you lock them up?
"
"\n<シィナ>は？知らんし。","\n<Shina>Huh, me?
Beats me."
"\n<リリー>ちょっと！
しっかりしてよね！
逃げられたらどうすんのよ！","\n<Lily>Whoa whoa whoa!
You need to take this seriously!
What if they got out!"
"\n<リリー>はぁ～～～・・・
ほんとあんたっていっつも・・・","\n<Lily>Sigh....
Why are you always so... so..."
"\n<シィナ>はぁ？
知らんにゃ。
鍵持ってないし。アタシじゃねー！","\n<Shina>Whaa?
I dunno-nya.
I don't have the key. It's not my fault!"
"\n<ライム>私も持ってないよ。","\n<Lime>I don't have a key either."
"\n<リリー>ん？","\n<Lily>Hm?"
"\n<リリー>・・・！！","\n<Lily>...!!"
"\n<リリー>私が持ってた。
・・・
鍵、閉めたっけ？","\n<Lily>I have the key.
...
Did you at least shut the door?"
"\n<シィナ>知らんし。
アホにゃ。","\n<Shina>I dunno.
Why don't you do it yourself-nya."
"\n<ライム>とりあえず、確認しに戻ろっか。
リリー。","\n<Lime>Well for now, let's go back and check,
Lily?"
"\n<シィナ>ごめんなさいは～？","\n<Shina>Now who should be the one apologizing?~"
"\n<リリー>えへっ♥","\n<Lily>Eei♥"
"引っかけ場所","引っかけ場所"
"<TE:立体起動>","<TE:立体起動>"
"最初のイベント","最初のイベント"
"\n<ライム>やっぱりね！","\n<Lime>I knew it!"
"\n<ライム>逃げる時間そんなにないよなー、って思ってたの。
どこかに隠れてたのかな？
待ってたら来ると思ったよー！","\n<Lime>I was just thinking, ""There was no time to escape at all-.""
You hid somewhere, right? So I thought to wait here, just in case!"
"ーーーーー基本変更点ーーーーー",
"\n<ライム>にへへへへー♥
つーかまーえた♥","\n<Lime>Ehehehehe-♥
Caught you-♥"
