"アーコ",""
"MP_SET_MOVIE e8_Ta",""
"MP_SET_LOOP 6 on",""
"\n<アーコ>クリア部屋だね。
今回はどんな終わり方をしたのかな？
いっぱい出た？","\n<Ako>This is the Game Clear Room.
What kind of ending did you get this time?
Did you cum lots?"
"\n<アーコ>何か欲しい物ある？","\n<Ako>Did you want something?"
"\n<アーコ>なんで片目隠してるの？","\n<Ako>Why are you covering your eyes?"
"\n<アーコ>\n[1]って妹いたんだね。
いや、こっちの話。
こっち・・・そっち？","\n<Ako>\n[1], you have a sister, right?
No, that was the last run.
This one... Next one?"
"\n<アーコ>そのうちお店を建てられる気がする。
屋敷から盗・・・
仕入れたものを売ったお金で。","\n<Ako>I think I'll be able to build my own shop soon.
I'll be able to stock up with the cash you got for me,
plus all the stuff I took from the mansion."
"\n<アーコ>ノラの時のしぃにゃんは今よりもっと尖ってたよ。
人間に媚びた方が絶対楽にご飯食べられるのに。","\n<Ako>Shi-nyan was even more grouchy back when
she was a stray. Even though she could've eaten her
fill if she'd just sucked up to the humans."
"\n<アーコ>サンタに言葉を教えたのはあたし！
猫語も話せるニャウリンガルだからね。
猫語教えてあげよっか？","\n<Ako>I taught Santa how to speak!
I speak cat too. I'm meow-tilingual.
Do you want to learn to speak cat?"
"\n<アーコ>死んじゃうのは悲しいけどさ、
淫魔に吸われて死んじゃった人ってみんな
凄く気持ちよさそうで、なんかさ。","\n<Ako>It's sad when people die,
but the people who are drained by succubi at
least die feeling really good."
"\n<アーコ>それはそれでいいのかなぁ？
って思っちゃったりもする。
あたしはしないけどね。そういうこと。","\n<Ako>But is that really ok?
I think about that sometimes.
I'm really not sure.... Such is life."
"\n<アーコ>足コキ好きな人ってマゾだよね。","\n<Ako>People who like footjobs are all masochists."
"\n<アーコ>争いとかいざこざってきらい。
お金で解決しよ。","\n<Ako>I despise fighting.
Everything can be settled with money."
"\n<アーコ>べらぼーに酔っ払いたい時ってあるよね。","\n<Ako>Sometimes you just wanna get drunk."
"\n<\n[1]>何か嫌なことでもあったの？","\n<\n[1]>Is there anything you don't enjoy?"
"\n<\n[1]>あるぜ。","\n<\n[1]>Alcoholic."
"買い物","Shop"
"用事はない","Nothing"
"\n<アーコ>何を買ってくれるのかな？","\n<Ako>What would you like to buy?"
