"自動実行","自動実行"
"食糧庫ドア","食糧庫ドア"
"扉","扉"
" <enemy:99><cw:1.5><ch:1.5>"," <enemy:99><cw:1.5><ch:1.5>"
"不思議な形のドアだ。
おそらく機械仕掛けというやつだろう。
開け方が分からない。","A strangely shaped door.
It's most likely mechanical.
It's not clear how to open it."
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",""
"小説",""
"檻だ・・・
格子には至る所に噛み跡が付いている・・・","A cage...
The lattice has bite marks all over..."
"\n<\n[1]>（よっぽど出たかったんだね。
私も・・・ここから逃げないと・・・）","\n<\n[1]>(You really wanted to escape.
Same as me... I need to get out of here...)"
"\n<\n[1]>（猫のケージだろうか・・・
猫・・・？
いやまさかな。）","\n<\n[1]>(It's some kind of cat cage...
A cat...?
It couldn't be...)"
"窓からは森が見える・・・","You can see the forest from the window..."
"\n<\n[1]>（開かない。
開いても飛び降りられる高さじゃない・・・）","\n<\n[1]>(It won't open.
Even if it did, it's too high to jump...)"
"槍が立てかけてある・・・","Some spears are propped up..."
"\n<\n[1]>（使ったことはないけれど・・・
持って行ってみようかな。）","\n<\n[1]>(I've never used one before, but...
Maybe I should take one with me.)"
"\n<\n[1]>（槍か・・・
扱えないことはないけど、室内ではあまり役に立たないかも。
一応持っていこう。）","\n<\n[1]>(A spear...
I can use them, but its use is limited indoors.
I'll take one just in case.)"
"先っぽが折れてしまった・・・","The tip broke off..."
"\n<\n[1]>（もう槍はいいや。）","\n<\n[1]>(So much for that.)"
"\n<\n[1]>（先っぽだけ取れてしまった・・・）","\n<\n[1]>(Only the tip came off...)"
"騎士の象・・・","A knight statue..."
"\n<\n[1]>（こんなの部屋に置きたくないよ。）","\n<\n[1]>(This doesn't really match the rest of the room.)"
"\n<\n[1]>（これはいいな。部屋に飾りたい・・・）","\n<\n[1]>(How cool. I need to redecorate my room...)"
"これは・・・！
自分の装備一式だ！！
こんなところに・・・！！","This is...!
All your equipment!!
It's all right here...!!"
"\n<リリー>忠告しておいてあげる。
あんたがそれを取った瞬間、
あんたは精奴隷じゃなくてサキュバスハンターになるわ。","\n<Lily>Let me give you a word of advice. The moment you
pick up that gear, you won't be a semen slave any longer.
You'll be a succubus hunter."
