"自動実行","自動実行"
"いわ","いわ"
" <enemy:148>"," <enemy:148>"
"錆びついた鉄格子だ・・・","A rusty iron grate..."
"食糧庫ドア","Pantry Door"
"鍵が刺さったままになっている・・・","The key is in the lock…"
"出現防止",
"EV025","EV025"
"リリーの日記",
"リリーの日記
ライム式ダイエット","Lily's Diary
Lime-style diet"
"読んでみる","Read"
"やめておく","Maybe not."
"EV054",
"罠を踏んでしまった・・・！","Stepped on a trap...!"
"なんと身体が小さくなってしまった・・・！","Your body has become tiny...!"
"--------キャラ指定-----座標設定------------",
"----------------------------------------",
"\n<リリー>なぁに？
また食べられたいの？ヘンタイ♥
わざと踏んだでしょそれ。","\n<Lily>What's this?
Do you want to get eaten again? Pervert♥
You stepped on it on purpose."
"\n<リリー>違うの？
本当に？ふーん。
ま、どっちでもいいけど。","\n<Lily>Am I wrong?
Really? Hmmmm.
Well, no matter, either way."
"ミニマムバトル","Shrunken battle"
"\C[10]小説","\C[10]Short story"
"説明","Explanation"
"丸飲みサークルD-gateのCamelさんから頂いた
小説を元にしたイベントが見られます。
選択すると食べられてゲームオーバーになるので注意！","I received a short story from Camel of the vore group D-Gate.
You can see an event based on the story. If you select it,
you'll be eaten, and the game will be over. Be careful!"
"ポップアップ有効化",
"\n<リリー>必死に抵抗しちゃって。
そんなに食べられたくなかった？
くすくす♥","\n<Lily>You fought as hard as you could.
So you really didn't want to be eaten?
Hee hee♥"
"\n<リリー>そろそろ魔法が切れそうね。
じゃ、私のお口が恋しくなったらいつでも言うのよ？
また小さくして可愛がってあげる♥くすくす♥","\n<Lily>That spell will wear off soon. Well, if you ever
miss my mouth, let me know, ok? I'll shrink you
down and play with you again♥ Hee hee♥"
"身体が元の大きさに戻った！","Your body returned to its normal size!"
"報告書","報告書"
"お風呂場のモップ、ダメになってきちゃった！
根元がポキっと折れてただの『棒』になっちゃいそうなの。
アーコちゃん、もしモップあったらお願いね！","The bathroom mop is broken!
The head broke off, and now it's just a 『Stick』.
Ako, please, we really need a mop!"
"\n<\n[1]>（淫魔の癖になんて庶民的な買い物・・・）","\n<\n[1]>(Succubi have such ordinary shopping lists...)"
"\n<\n[1]>（モップ・・・武器になるかな？
こんな短い果物ナイフよりはマシだと思うけど・・・）","\n<\n[1]>(A mop... Could I use that as a weapon?
The reach would be better than the little fruit knife...)"
"\n<\n[1]>（モップか・・・武器に出来るか？
無いよりはましそうだけど・・・）","\n<\n[1]>(A mop... Could I use that as a weapon?
I guess it would be better than nothing...)"
"EV058",
"何か使えそうなものは・・・","Maybe there's something here I can use..."
"豪華な装飾の付いた鍵だ・・・
どこの鍵だろう。","A lavishly decorated key...
What could it unlock?"
"\n<\n[3]>ごそごそして何か探してるのかな？
お腹空いたのー？","\n<\n[3]>What are you rummaging around for?
Are you hungry-?"
"\n<\n[3]>お腹空いたのなら私が何か作ってあげるよー♥
でもでもー、その前にー・・・","\n<\n[3]>If you're hungry, I can make you something to eat-♥
But... Before that..."
"\n<\n[3]>ぎゅーっ♥
私が先にご飯にするー♥","\n<\n[3]>Squish♥
I get to eat first-♥"
"ーーーーー待機or攻撃アニメSE選択ーーーーー",
"MP_SET_speed 5 50",
"--------ここから誘惑------------",
"\n<\n[3]>わぁ♥
抱き着いたら乳首におちんちん入っちゃった♥
あははー♥","\n<\n[3]>Waah♥
When we hugged, your dick got stuck in my nipple♥
Ahaha-♥"
"\n<\n[3]>おっぱいで挟むのもいいけどー、
おっぱいの中に入っちゃうのもいいよねー♥
くすくす♥","\n<\n[3]>It's nice to be held in between my boobs, but...
It's something completely different to be held inside them-♥
Hee hee♥"
"\n<\n[3]>ねーねー♥
腰動いちゃってるよー？
私の乳首でもぐもぐされるのどーお？気持ちいー？","\n<\n[3]>Hey, hey♥
Are you pumping your hips-?
Are you writhing there, inside my nipple-? Does it feel good?"
"--------ここから選択肢-------------",
"\n<\n[3]>抜け出さなきゃなのに
にゅるにゅるおちんちんに絡みついてきて
逃げられないねー♥","\n<\n[3]>If you don't break free now, 
my slimy body will coil around your dick,
and then you'll never escape-♥"
"MP_SET_speed 5 75",
"MP_SET_speed 5 100",
"\n<\n[3]>もう離れられると思ったー？
ダメダメー♥
ほーらぴゅっぴゅしちゃいなよー♥","\n<\n[3]>Did you think you'd be free by now?
Not this time-♥
I want you to let it all out inside me-♥"
"\n<\n[3]>おいでおいでー♥","\n<\n[3]>Cum, cum-♥"
"--------ここからクリア------------",
"\n<\n[3]>むー・・・
カチカチにしてるのにまだ頑張るのー？そっかー。
悲しいなぁー・・・","\n<\n[3]>Hmph...
Are you really still resisting, even when you're so hard? Ahh.
Such a shame..."
"\n<\n[3]>でも、またしてほしくなったら言ってね？
いつでももぐもぐ食べてあげるから。
じゃ、また後でねー♥","\n<\n[3]>But won't you let me know if you ever want to do it again?
I'll eat you up any time you want.
Well, see you again-♥"
"アイテム","Items"
"バルコニーの鍵を見つけた！
これで外に出られる・・・！","You found the Balcony Key!
Now you can get outside...!"
"もう使えそうなものはない。","Nothing else useful."
"食材が並んでいる・・・","Ingredients line the shelf..."
"\n<\n[1]>（淫魔も普通のご飯食べるのかな。
じゃあそれだけ食べてればいいのに・・・）","\n<\n[1]>(I wonder if succubi eat normal food too.
I wish I could eat this well...)"
"\n<\n[1]>（食べるものには困らないな・・・）","\n<\n[1]>(Don't let your hunger distract you...)"
"時計が時を刻んでいる・・・","時計が時を刻んでいる・・・"
"\n<\n[1]>（どれだけの時間、ここにいるんだろう・・・）","\n<\n[1]>(I wonder how long I'll be trapped here...)"
"\n<\n[1]>（時間の感覚がおかしくなる・・・
早くここから抜け出さないと・・・）","\n<\n[1]>(My sense of time is all messed up...
I need to get out of here right away...)"
"リリーの日記
手配書を出そう","Lily's Diary
Calling the search"
"食料保管庫と書かれている・・・","It reads Food Storage..."
"\n<\n[1]>（何か甘い物、ないかな？）","\n<\n[1]>(I wonder if they have anything sweet?)"
"\n<\n[1]>（腐ってなければいいが・・・）","\n<\n[1]>(I hope nothing has gone rotten...)"
"来客に食事を提供する際の注意
1：身だしなみを整える
2：おもてなしの心をもつ","Notice when serving dinner guests
1: Keep yourself well groomed
2: Keep a hospitable spirit"
"3：適温で提供する
4：なるべくお酒を勧める（アルコール度数が高い物）
5：無駄な話をしない","3: Ensure dishes are the right temperature
4: Recommend alcohol as often as possible (high alcohol content)
5: Keep your speaking brief"
"6：態度が怪しい場合はガード、またはメイド長へ連絡
7：問題ない場合は笑顔で帰ってもらう","6: Report unusual behavior to security, or contact head maid
7: If no issues arise, send them home with a smile"
"EV074","EV074"
"EV075","EV075"
"錆びた鉄格子を開けるには・・・","How to open the rusted gate..."
"答えを見る","See answer"
"見ない","Don't see"
"武器で攻撃してください。","Attack the gate with an ice weapon."
"ビンにはピクルスが入っている。","The jars are full of pickles."
