"自動実行","自動実行"
"食糧庫ドア","Pantry Door"
"リリーの日記","Lily's Diary"
"リリーの日記
恋ってなに？","Lily's Diary
What is love?"
"読んでみる","Read"
"やめておく","Don't read"
"EV004",
"--------キャラ指定-----座標設定------------",
"----------------------------------------",
"何か使えそうなものは・・・","Maybe there's something here I can use..."
"氷の魔導書・・・
何かを凍らせることが出来そうだ。","Found an ice tome...
You could freeze things with this."
"\n<リリー>ちょっと！
人の本棚探らないでよ！！
バカ！！","\n<Lily>Hey!
You can't just look through someone's bookshelf!!
Jerk!!"
"\n<リリー>これはオシオキが必要みたいね。","\n<Lily>Looks like it's punishment time."
"ーーーーー待機or攻撃アニメSE選択ーーーーー",
"--------ここから誘惑------------",
"\n<\n[3]>ほら！ごめんなさいは？
人の本棚勝手に漁ってごめんなさいって
言いなさいよ。","\n<\n[3]>Hora! Are you sorry?
Let me hear you say you're sorry for looking through
someone else's bookshelf."
"\n<\n[3]>がっちがちに勃起させちゃって。何コレ。
はーん。なるほどね♥
こうされたくて、わざと私を怒らせたの。","\n<\n[3]>Oh, what's this? You ended up getting an erection.
Ahhh, I see how it is♥
You got me angry on purpose so I would do this."
"\n<\n[3]>ドマゾ。
なに感じてんの気持ち悪い♥
ほら♥嫌なら逃げてみなさいよ♥ほらほらほら♥","\n<\n[3]>Masochist.
I can't believe you're enjoying something like this♥
Hora♥ If you don't like it, just try escaping♥ Hora hora hora♥"
"--------ここから選択肢-------------",
"\n<\n[3]>あっは♥
チンポ気持ちよくて逃げられないの？
踏まれてるのに♥","\n<\n[3]>Ahaha♥ You can't run away 
because your penis feels amazing under my foot?
I'm only just stepping on it you know♥"
"\n<\n[3]>ダメよ。逃がさない。
ほら出してみなさいよ。
あんたの精液、一匹残らず踏みつぶしてあげるから。","\n<\n[3]>No. I won't let you escape.
Hora~ Let it all out. I'm going to keep trampling your
dick until it squirts out every last drop."
"\n<\n[3]>はぁ？もうイクの？","\n<\n[3]>Huh? Cumming already?"
"--------ここからクリア------------",
"\n<リリー>くくく♥
おもしろ♥
その馬鹿ヅラ見てたら満足したわ♥くすくす♥","\n<Lily>Kukuku♥
You're so funny♥
Seeing your stupid face makes me feel alot better♥ Hee hee♥"
"\n<リリー>次もし私の部屋を荒したら
こんなものじゃ済まないわよ。
使い物にならなくなるまで犯してやるから。","\n<Lily>Next time you break into my room though,
sorry just won't cut it.
I'm going to fuck you senseless."
"小説",
"恋愛小説が並んでいる・・・","The shelves are lined with romance novels..."
"\n<\n[1]>（あ、これ読んだことあるやつだ。
最後にヒロイン死なせて安直に涙を誘うやつ・・・
私こういうのきらい。）","\n<\n[1]>(Oh, I've read this one before. They kill off
the heroine at the end for some cheap tears...
I hate that kind of thing.)"
"\n<\n[1]>（淫魔も恋愛小説を読んだりするのだろうか・・・）","\n<\n[1]>(I guess succubi read romance novels too...)"
"\n<\n[1]>（あ、これ読んだことある・・・
負けヒロインの方が魅力的で
結末に納得いかなかったやつだ・・・）","\n<\n[1]>(Oh, I've read this one. The more interesting
heroine loses out in the end.
It was such an unsatisfying ending.)"
