"イベント実行","Event Action"
"\n<シィナ>なんにゃコイツ。","\n<Shina>The hell is this-nya."
"\n<リリー>なんで屋敷にオークがいるのよ。","\n<Lily>Why are there so many orcs in the mansion?"
"\n<ライム>どこから入って来たんだろ？
・・・？","\n<Lime>Where did you come from?
…?"
"\n<オーク>ゴブゴブ！！","\n<Orc>Oink oink!!"
"\n<オーク>ゴブゴブ・・・","\n<Orc>Oink, snort..."
"\n<オーク>ゴブ！！","\n<Orc>Oink!!"
"\n<シィナ>オークの癖にゴブゴブうるせー！
ゴブリンかテメーは！","\n<Shina>I hate orcs and their squealing!
Shut up you little goblin freak!"
"\n<ライム>なんて言ってるのかなー？","\n<Lime>What is it trying to say?"
"\n<リリー>そうだわ。
使役しましょ。","\n<Lily>Alright then.
Let's put it to work."
"\n<リリー>チャーム♥","\n<Lily>Charm♥"
"\n<オーク>ゴ・・・♥
ゴブゴブ・・・♥","\n<Orc>Oink...♥
Oink oink...♥"
"\n<オーク>ゴゴ・・・♥
ゴゴブブ・・・♥","\n<Orc>Snort...♥
Snort, squeal...♥"
"\n<オーク>ゴ・・・
ゴブリン♥","\n<Orc>Oink...
Squoink♥"
"\n<リリー>よしよし♥
ちゃんと効いたみたいね。","\n<Lily>There we are♥
Seems like that worked just fine."
"\n<シィナ>おい！コイツ今ゴブリンって言ったぞ！
聞いたにゃ！？今の！","\n<Shina>Oi! He just squoinked!
Did you hear that!? Just now!"
"\n<ライム>リリー、この子使役してどーするの？","\n<Lime>Lily, what will you do with this little one?"
"\n<リリー>雑用とか警備とかさせればいいでしょ。
単細胞のアホだから。","\n<Lily>Simple chores and security work, I figure.
They're pretty simple minded after all."
"\n<リリー>いい？オーク！
私たちの為にちゃんと働きなさいよ！","\n<Lily>Alright? Orc!
Work hard for us now!"
"\n<オーク>ゴブゴブ！","\n<Orc>Oink oink!"
"\n<ライム>オークさんよろしくねー♥","\n<Lime>Do your best, little orc-♥"
"\n<シィナ>給料はどんぐり3つにゃ。","\n<Shina>We're paying you 3 acorns an hour-nya."
"\n<オーク>ゴーーーーブ！！","\n<Orc>Oiiiiiiiiinnnkk!!"
"\n<リリー>バカじゃないの？いい加減にしてよ！","\n<Lily>What are you, stupid? Knock that off!"
"\n<シィナ>はぁ～？そっちが悪いにゃ！","\n<Shina>Huh～? What'd you just say to me-nya!?"
"\n<ライム>はいはいはいはい。落ち着いてー。
どっちが悪いかゲームで決めよー。","\n<Lime>Hey hey hey hey hey. Calm down now.
Let's play a game to decide who's wrong."
"\n<シィナ>あ？ゲーム？
何にゃ。","\n<Shina>Hah? A game?
Like what-nya?"
