"自動実行","自動実行"
"ライム","Lime"
"シィナ","Shina"
"リリー","Lily"
"イベント実行","イベント実行"
"\n<リリー>なにやってんのあいつ。
遅いわねー。","\n<Lily>What's keeping them?
It's been such a long time."
"\n<ライム>ねー。","\n<Lime>Yep-."
"\n<リリー>あーそこそこ♥
そこ気持ちいい。","\n<Lily>Ah- Right there♥
That hits the spot."
"\n<ライム>ここー？","\n<Lime>Right here-?"
"\n<シィナ>おい！！居なくなってるにゃ！！
牢屋も！！
バルコニーにロープにゃ！！！","\n<Shina>Oiii!! There's no one here, nya!!
The dungeon's empty too!!
And I found some rope dangling from the balcony, nya!!"
"\n<リリー>はぁ！？
うっそでしょ！！
まじで言ってんの！？","\n<Lily>Huh!?
No way!!
Are you kidding me!?"
"\n<シィナ>まじにゃん・・・
アーコも居ないし。
あのバカ・・・裏切ったにゃん！","\n<Shina>I ain't kidding, nyan...
Ako is missing too.
That bastard... She betrayed us, nyan!"
"\n<リリー>\n[1]・・・！！
クソ・・・！！
覚えてなさいよ！！","\n<Lily>\n[1]...!!
Damn you...!!
I'm gonna remember this!!"
"\n<リリー>今すぐ追いかけたいところだけど・・・
ぐぬぬ・・・
まずはあんたたちを元に戻さないと・・・","\n<Lily>I want to chase after them right away, but...
Grumble...
I need to put you two back to normal first..."
"\n<ライム>私も負けっぱなしはやだー。
くやしいよー・・・","\n<Lime>I don't want to keep losing either-.
It's so frustrating."
"\n<シィナ>勝ち逃げは許されんにゃ・・・
こんな屈辱初めてにゃん。
ぶち殺してやるし。","\n<Shina>How dare they beat me and then escape, nya...
I've never been so humiliated, nyan.
They're dead next time."
"\n<リリー>ええ・・・
地の果てまでも追い詰めて・・・
必ず搾りカスにしてやるわ・・・！！","\n<Lily>Yes...
I'll chase them to the ends of the earth...
Then I'll drain them into dust...!!"
"ED1　トゥルーエンド","ED1　True Ending"
