"自動実行","自動実行"
"リリーイベ","リリーイベ"
"シィナイベ","シィナイベ"
"ライムイベ","ライムイベ"
"イベント実行","Event Action"
"\n<シィナ>ちくしょー！あいつどこにも居ないし！
逃げられたにゃん！","\n<Shina>Dammit! I can't find them anywhere!
They escaped-nyan!"
"\n<リリー>正直妹を置いて行くなんて思ってなかったわ。
意外と薄情なのね。あいつ。","\n<Lily>I must admit, I didn't expect him to abandon his own sister.
He's surprisingly cold, that one."
"\n<ロメリア>あにきが逃げられたなら
私はそれでいいもーん♥
あはは！","\n<Meria>If brother was able to escape,
that's fine by me♥
Ahaha!"
"\n<ライム>どうするの？
きっと他のハンター連れて大人数で戻って来るよ。
もうここには居られないー・・・","\n<Lime>What are we going to do?
They're certainly going to return with lots more hunters.
We can't stay here any longer..."
"\n<リリー>ここは捨てるしかないわね。
ハンターを集めて戻ってくるまでに数時間ってところかしら。","\n<Lily>We'll have to abandon this place.
It'll be a few hours before they can assemble the other hunters."
"\n<ライム>ちょっと遊びすぎちゃったね。","\n<Lime>We got a bit carried away with our game, huh."
"\n<シィナ>この生意気なデカ乳はどうするにゃ？","\n<Shina>What do we do with Ms. Cocky Cow Tits here-nya?"
"\n<リリー>置いていくしかないでしょ。","\n<Lily>We'll need to leave her behind."
"\n<ライム>ここを出るなら連れて行くわけにもいかないよねー。
あーぁ、せっかく捕まえたのにー。","\n<Lime>If we're leaving, we can't take her with us.
Aah, and after all the trouble we took to lock her up."
"\n<ロメリア>・・・！
（あれ？ひょっとして私・・・助かる？）","\n<Meria>...!
(Really? Then... I might be saved?)"
"\n<シィナ>まだ時間あるし。
腹の虫が治まらんにゃ。","\n<Shina>There's still some time.
We could sate our hunger once more-nya."
"\n<リリー>そうね。
置いていくとは言ったけど、
何もしないとは言ってないわ。","\n<Lily>But of course.
I said we'd leave her behind,
I didn't say what we would do before then."
"\n<ロメリア>・・・
（そうだよね。うん。数時間・・・
助けが来るまで耐えよう。）","\n<Meria>...
(Alright. Fine. Just a few hours...
I'll have to hold out until I'm rescued.)"
"\n<ロメリア>えっ！？えっ！？
な、なにこれ！！
あっあっあっ！！","\n<Meria>Eh!? Eeeh!?
Wh-what are you doing!!
Ah, ah, ahhh!!"
"\n<リリー>チンポ付けてやったの。
どう？嬉しいでしょ？プレゼントよ♥","\n<Lily>I put a cock on you.
Well? Aren't you happy? It's a gift♥"
"\n<リリー>あとオマケに淫紋もね。
それ付いてると身体の奥からじわじわと
勝手に快感が上ってくるの♥くすくす♥","\n<Lily>I threw in a lust crest as a little bonus.
With that on you, pleasure will slowly well up from deep within
your body all on its own♥ Hee hee♥"
"\n<ロメリア>はぁ・・・はぁ・・・！
や、やだぁ・・・！
あうぅぅ・・・！！","\n<Meria>Hah... Hah...!
N-no, please...!
Ahhhhn...!!"
"\n<シィナ>にゃははは♥
良いザマにゃん♥","\n<Shina>Nyahahahaha♥
Serves you right-nyaan♥"
"\n<ロメリア>あっあっ！
き、きもち・・・い・・・！
ダメ・・・！あっ！あっ！！","\n<Meria>Ah, ahhh!
F-feels... Good...!
Oh no...! Ahh! Ahhhn!!"
"\n<ライム>わぁー♥
かわいー反応ー♥","\n<Lime>Waaah♥
Such a cute reaction-♥"
"\n<ロメリア>あうぅぅ・・・♥
な、なんか・・・きちゃう・・・♥
はぁ・・・はぁ・・・♥","\n<Meria>Auuuh...♥
S-something... Coming...♥
Haaah... Haaaahh...♥"
"\n<リリー>あっはははは♥
最初からこっちで遊んでればよかったわね♥
くすくす♥","\n<Lily>Ahahahaha♥
We should've done this right from the beginning♥
Hee hee♥"
"\n<ロメリア>あうあう・・・♥
こ・・・これ・・・♥
やばい・・・♥んにゃぁあ・・・♥","\n<Meria>Ahh, ahhh...♥
Th... This is...♥
So strange...♥ Nyaaaaah...♥"
"\n<ロメリア>あぁ！もうだめ！！
なにか出ちゃう！！
あっあっあああ♥♥","\n<Meria>Ahhh! N-no more!!
Something's coming out!!
Ahh, ah, ahhhhh♥♥"
"\n<ロメリア>いやぁぁぁぁぁぁ♥♥♥","\n<Meria>Eyaaaaaahhh♥♥♥"
"\n<シィナ>にゃっは！！
こいつ触ってないのにイったにゃん♥
にゃははははは♥","\n<Shina>Nyahaa!!
I didn't even touch her and she came-nyaan♥
Nyahahahaha♥"
"\n<ライム>淫紋っておもしろーい♥
私もやってみたーい♥","\n<Lime>That lust crest looks like fun♥
I want to try one too♥"
"\n<ロメリア>あっあっあっ♥
気持ちいいのとまらな・・・♥
んにゃぁ♥","\n<Meria>Ah, ah, ahhh♥
It... Won't... Stop...♥
Nyaaah♥"
"\n<リリー>あいつが助けに戻って来た時に
妹がこんな姿だったら、どう思うかしら♥
くすくす♥","\n<Lily>I wonder what that boy will think of his sister once he
comes back to rescue her♥
Hee hee♥"
"\n<ロメリア>こんにゃの・・・♥
数時間も耐えられ・・・にゃ・・・♥
あっあっあっ♥♥♥","\n<Meria>I can't...♥
Last... A few hours... Like this...♥
Ahh, ahh, ahhhhn♥♥♥"
"\n<リリー>じゃ、私たちはもう行くわね。
あんたはそこでそうやってずっと悶えてなさい♥","\n<Lily>Well, we'll be leaving now.
You just keep writhing around like that♥"
"\n<ロメリア>イクぅぅぅぅぅぅぅぅう♥♥♥","\n<Meria>Cummiiiiiiingg♥♥♥"
"ED4　脱出成功救出失敗","ED4　Escape Successful, Rescue Mission Failed"
"\n<リリー>バルコニーの手すりにロープが結んであったわ。
外に逃げられたようね。
はぁ・・・","\n<Lily>There was a rope tied to the balcony handrail.
She must have escaped from there.
Haaah..."
"\n<アルス>ははは！残念だったな。
（よかった・・・\n[1]・・・）","\n<Alsto>Hahaha! Too bad for you.
(You did it... \n[1]...)"
"\n<シィナ>このマゾ豚はどうするにゃ。","\n<Shina>What are we doing with this masochistic pig-nya?"
"\n<リリー>そうねぇ。
あと少しは時間があるみたいだし・・・","\n<Lily>Right.
I suppose we have a little more time..."
"\n<シィナ>干乾びるまで搾り尽くすにゃ♥","\n<Shina>Then let's squeeze him dry-nya♥"
"\n<リリー>まぁ、そうなるわよねぇ♥
くすくす♥","\n<Lily>What a lovely idea♥
Hee hee♥"
"\n<アルス>まぁ、そうなるよなぁ。","\n<Alsto>Do your worst."
"\n<シィナ>死ぬ気で射精我慢すれば
助けが間に合うかもしれんにゃぁ？","\n<Shina>I wonder, will someone come to rescue you,
or will we milk you to death first-nyaa?"
"\n<リリー>簡単にミイラになられても面白くないものね♥
精々頑張って耐えてみたら？","\n<Lily>It's not fun when they get drained too quickly♥
Do your best to endure, ok?"
"\n<ライム>んー♥
精奴隷さんになって欲しかったなー。
しょうがないかー。","\n<Lime>Mmm-♥
I really wanted to keep you as a semen slave-.
But that's the way it goes-."
"\n<アルス>ちくしょ・・・
（でもまぁ、\n[1]が無事なら俺は・・・）","\n<Alsto>Dammit...
(But, as long as \n[1] is safe, then I don't mind...)"
"\n<リリー>ほらライム。
お兄ちゃんのチンポぬるぬるにしてあげて♥","\n<Lily>Alright, Lime.
Make this big brother's cock all slimy♥"
"\n<ライム>うん♥
じゅるる♥れろぉ・・・♥
ちゅぅ♥ちゅぱっ♥","\n<Lime>Sure♥
Sluuuurp♥ Liiick...♥
Smooch♥ Smooooch♥"
"\n<アルス>う・・・くっ・・・
やめろ・・・","\n<Alsto>Uuuh... Kuh...
Stop..."
"\n<シィナ>にゃははは♥
嫌がってもチンポはギンギンにゃぁ♥","\n<Shina>Nyahahaha♥
Pretend to hate it all you like, your cock is still throbbing♥"
"\n<リリー>これは助けが来るまでもたないかもね♥
くすくす♥
さぁ、入れるわよ♥","\n<Lily>You might not last until help comes for you♥
Hee hee♥
Now, put it inside♥"
"\n<アルス>あぁぁ・・・！！
うぁ・・・！！あうぅ・・・！！","\n<Alsto>Ahhhh...!!
Uwaah...!! Ahhhh...!!"
"\n<リリー>あっは♥
情けない喘ぎ声♥","\n<Lily>Ahaaa♥
Listen to that pathetic moaning♥"
"\n<シィナ>乳首もイジメてやるにゃん♥
最後のえっちになるかもしれないし
精々楽しむにゃぁ♥ちゅぱ♥","\n<Shina>I'll tease your nipple too-nyan♥
This could very well be your last fuck.
You better enjoy yourself♥ Kiiiiss♥"
"\n<アルス>あっあっあっ・・・！！
（き・・・気持ちよすぎる・・・！！）","\n<Alsto>Ahh, ahh, ahhh...!!
(F...Feels too good...!!)"
"\n<リリー>あっはははは♥
最初から妹よりこっちで遊んでればよかったわね♥
くすくす♥","\n<Lily>Ahahahaha♥ We should've been playing with you
all this time, not your sister♥
Hee hee♥"
"\n<アルス>はぁ・・・はぁ・・・！
（こんなの・・・耐えられるわけが・・・）","\n<Alsto>Hah... Hah...!
(At this rate... I'm not gonna last...)"
"\n<アルス>あぁぁあ！！
ダメだ！！出る！！
あぁ！！あぁぁぁ！！","\n<Alsto>Ahhhh!!
No!! I'm cumming!!
Ahh!! Aaaahhh!!"
"\n<アルス>あぁぁぁぁぁぁぁぁぁぁ！！！！","\n<Alsto>Aaaaaaaahhhhhhhhh!!!!"
"\n<ライム>あー♥もう射精してるー♥
ねーねー♥
リリーのオマンコってそんなに気持ちいいー？","\n<Lime>Ahhh♥ He's already cumming-♥
Hey, hey-♥
Doesn't Lily's pussy feel so incredible-?"
"\n<シィナ>本気で我慢してそれにゃぁ？
雑魚過ぎ。","\n<Shina>You seriously couldn't endure this-nyaa?
Pathetic weakling."
"\n<アルス>うぐ・・・あ・・・！
た、頼む・・・！あぁ！抜いて・・・！
抜いてくれ・・・！！","\n<Alsto>Guh... Ahhh...!
I-I'm begging you...! Aaah! Take it out...!
Take it out...!!"
"\n<リリー>ええ。抜いてあげるわよ♥
あんたの精子。
金玉空っぽになるまで♥","\n<Lily>Of course, I'll take it out♥
Your sperm, I mean.
Until your balls are totally empty♥"
"\n<ライム>ダメだよー？簡単にぴゅっぴゅしてちゃ。
お兄ちゃん頑張らないとー♥","\n<Lime>That's no good, you're spurting way too easily.
You've got to try harder, big brother♥"
"\n<アルス>あぁぁぁ・・・！
し、締まる・・・！！
吸い取られ・・・！！","\n<Alsto>Aaahhh...!
I-it's tightening...!!
It's sucking on me...!!"
"\n<アルス>ぐあぁぁぁぁぁぁぁぁぁ！！！！！！","\n<Alsto>Gwaaaaahh!!!!!!!"
"\n<シィナ>にゃっは♥
次はアタシにゃん♥
アタシのマンコで搾り尽くしてやるし♥","\n<Shina>Nyaaaha♥
I'm up next-nyan♥
My pussy's gonna squeeze you dry♥"
"\n<シィナ>アタシは\n[1]に賭けるにゃ。","\n<Shina>My money's on \n[1]-nya."
"\n<リリー>本当にいいの？
男が女に勝てる道理なんてないけど。","\n<Lily>Are you serious?
It makes no sense, a man beating a woman."
"\n<シィナ>\n[1]、分かってるにゃ？
負けたら殺すにゃん。
元ハンターの意地見せろ。","\n<Shina>Focus up, \n[1].
You're dead meat if you lose-nyan.
Show me that hunter's instinct."
"\n<リリー>ロメリア。
遠慮は要らないわ。
搾り尽くしてあげて。","\n<Lily>Meria.
No holding back now.
Squeeze him dry."
"\n<ロメリア>はぁい♥
リリーさまぁ♥","\n<Meria>Yesss♥
Mistress Lily♥"
