"自動実行","自動実行"
"リリーイベ","リリーイベ"
"シィナイベ","シィナイベ"
"ライムイベ","ライムイベ"
"イベント実行","Event Action"
"\n<ライム>ここって元々お金持ちのお屋敷なんだよねー？
なんで地下牢なんてあるんだろー。","\n<Lime>So you said this used to be a rich man's mansion-?
Why would there be a dungeon here if that's the case?"
"\n<リリー>実は私もここに入ってたのよ。","\n<Lily>Actually, I got thrown in here too."
"\n<ライム>そうなの？
どうして？","\n<Lime>Is that so?
Why's that?"
"\n<リリー>淫魔を探してる人間がいたから、わざと捕まってみたの。
暇だったし。","\n<Lily>Some human was looking for succubi, so I let them catch me.
I had some time to kill."
"\n<ライム>暇つぶし・・・","\n<Lime>So you were killing time..."
"\n<リリー>そういえばシィナも捕まってたし、
あんたも連れてこられたんじゃないの？
スラミーってこの辺いないでしょ。ふつー。","\n<Lily>Come to think of it, Shina was also captured and brought here.
So were you also brought here?
Slimes aren't commonly found around here."
"\n<ライム>そうなのかな？
私あんまり昔のこと覚えてないんだよねー。","\n<Lime>Is that true?
I don't remember too much about my past."
"\n<ライム>それで、その後どうなったの？
檻からどうやって出たの？","\n<Lime>But anyway, what happened next?
How did you break out of your cage?"
"\n<リリー>看守を誘惑して・・・
まぁ、定番よね。
誘いこんで滅茶苦茶に犯してやったわ。","\n<Lily>Oh, I seduced the guard...
You know, my old go-to.
I lured him in, and I raped him."
"\n<リリー>で、そのまま
この屋敷丸ごと貰っちゃったってわけ♥","\n<Lily>Then, after that
I took over the entire mansion♥"
"\n<ライム>やっぱりリリーって強いんだねー♥
凄いなー！
私も誘惑して脱獄とかしてみたい！","\n<Lime>That's my Lily! You're so strong-♥
That's so amazing-!
I want to seduce a guard and break out of jail too!"
"\n<リリー>あんたは隙間から出られるでしょ。","\n<Lily>You could just squeeze through the bars."
"\n<ライム>誘惑するのがいいんだよー。
あはーん♥うふーん♥とかやったんでしょー？
いいなー。","\n<Lime>Seduction sounds way more fun though.
Were you all like, 'Ahhhn♥ Ooooh♥'?
Super sexy-."
"\n<ライム>あはーん♥うふーん♥","\n<Lime>Ahaaaaan♥ Mmmmmmm♥"
"\n<リリー>バカにしてんの？","\n<Lily>You're kidding, right?"
"\n<シィナ>しましまの服あったにゃ。","\n<Shina>Check out these stripy clothes-nya."
"\n<リリー>あら、それ囚人服じゃない。","\n<Lily>Oh my, if it isn't a prison uniform."
"\n<ライム>しましまかわいー♥
囚人服ー？","\n<Lime>Such cute stripes-♥
What's a prison uniform?"
"\n<リリー>ちょうどいいわね。
精奴隷に着せましょ。","\n<Lily>It's perfect.
Let's make a semen slave wear it."
"\n<シィナ>なんで精奴隷に着せるにゃ？
アタシが見つけたのに。","\n<Shina>Why would we put it on a semen slave?
I found it first."
"\n<リリー>立場を分からせるためよ。
人間って生き物は単純だからね。
服装によって精神が引っ張られるの。","\n<Lily>It ties the whole dungeon scene together.
Humans are simple creatures. You put them in this
outfit, it will crush their spirit."
"\n<リリー>『囚われ』であることを強く認識させることで
『管理される者』の気持ちに近づいていく。
性格も信念も、環境で簡単に変える事ができるわ。","\n<Lily>By putting them in clothes that signify that they're 'prisoners',
they'll shift their own mindset, and believe that they're 'objects'.
A person's environment can influence their heart and mind."
"\n<シィナ>よく分からんにゃ。","\n<Shina>I don't get it-nya."
"\n<リリー>しましまを着るとマゾになるってことよ。
シマウマはライオンに食べられるマゾでしょ。
そういうこと。","\n<Lily>Striped clothes will turn anybody into a masochist.
Just like a masochistic zebra, getting eaten by a lion.
Does that make sense?"
"\n<シィナ>完全に理解した。","\n<Shina>Yep, that makes more sense."
"\n<ライム>えー？
分かったような・・・
余計分からなくなったような・・・","\n<Lime>Eh?
You got it just like that...
I feel like I understand even less..."
"\n<シィナ>シマウマはマゾにゃん！
しましまだから！","\n<Shina>Zebras are masochists-nyaan!
Zebras have stripes!"
"\n<ライム>何の話してたっけー？","\n<Lime>What are you talking about?"
"\n<リリー>・・・","\n<Lily>..."
"\n<リリー>ふぅ。
（環境によって気持ちが変わるのは
人間だけじゃないのかもね・・・）","\n<Lily>Haah...
(Perhaps it's not only humans whose feelings change
depending on their environment...)"
"\n<シィナ>やばいにゃ！
早く脱がないとシマウマになるにゃん！","\n<Shina>Oh shit-nya!
I need to take off the clothes before I turn into a zebra-nyan!"
"\n<ライム>ならないでしょ・・・","\n<Lime>How does that work..."
"鉄格子","鉄格子"
"梯子","梯子"
