"リリー","Lily"
"ライム","Lime"
"シィナ1",
"ロメリア/アルス",
"てかせ",
"ベルーチェ","Velvet"
"剣",
"チョコレ","Chocolat"
"<enemy:99>",
"MP_SET_MOVIE チョコレ立ち絵アニメ",
"MP_SET_LOOP 20 on",
"\n<チョコレ>やったぁ♥
また気持ちよくしてくれるんれすね♥
えへへへ♥","\n<Chocolat>Yessss♥
Make me feel really good again♥
Eheeheehee♥"
"\n<チョコレ>でも、私ばっかりイっちゃうのは不公平な気もします♥
そんなにガチガチに勃起させてるのに♥","\n<Chocolat>But it's not fair that I'm the only one who gets to orgasm♥
Especially when you've got that throbbing dick there♥"
"\n<チョコレ>\n[1]さんもそろそろ出したいんじゃないれすか？
次は負けさせてあげますね♥","\n<Chocolat>Don't you want to cum this time, \n[1]?
You get to lose this time♥"
"\n<チョコレ>あっ♥あっ♥あっ♥
やっぱり凄いれす・・・♥
はぁ・・・はぁ・・・♥","\n<Chocolat>Ahn♥ Ahn♥ Ahn♥
Just as incredible as before...♥
Hah... Hah...♥"
"\n<リリー>・・・？
こいつ・・・
イったのにあんまり効いてない・・・？","\n<Lily>...?
This girl...
Even though she came, it had no effect...?"
"\n<チョコレ>もっと気持ちいいのほしいれす♥
次の勝負しよ♥きてきて♥","\n<Chocolat>I wanna feel good again♥
One more round♥ Come on come on♥"
"\n<チョコレ>痛ぁぁぁいっ！！","\n<Chocolat>Yeooooowch!!"
"\n<チョコレ>あうぅ・・・
ちょっと、いきなり何なんれすかぁ・・・
痛たたた・・・","\n<Chocolat>Owww...
Wh-why'd you do that out of nowhere...
Ow ow ow ow..."
"\n<ライム>あれ？
ダメージ食らってる・・・？","\n<Lime>Huh?
Did she take damage...?"
"\n<シィナ>お前・・・
淫魔じゃないにゃん！","\n<Shina>You're...
You're not a succubus, nyan!"
"\n<チョコレ>あ・・・
バレてしまいました。","\n<Chocolat>Ahh...
The cat's outta the bag."
"\n<リリー>ってことは
律儀にイカせ合いに応じる必要ないじゃない！","\n<Lily>You know what that means, right?
You don't have to sex battle with her!"
"\n<シィナ>ボコれ！","\n<Shina>Kick her ass!"
"\n<ライム>騙してたのー？","\n<Lime>She tricked us-?"
"\n<ロメリア>騙されてた・・・","\n<Meria>She had us fooled..."
"\n<ライム>嘘つき！","\n<Lime>You liar!"
"\n<ベルーチェ>あら、チョコレが淫魔だなんて
一言も言っていませんよ。","\n<Velvet>Ah, nobody ever said that
Chocolat was a succubus."
"\n<チョコレ>この羽と尻尾はあなた達の魔力で作ったものれす。
私はちょっと肉体改造が趣味なだけの人間れす。","\n<Chocolat>I made these wings and tail with your own magic power.
I'm just a regular human, but I'm super into body modding."
"\n<ライム>（ちょっと？）","\n<Lime>(What the?)"
"\n<チョコレ>凄く気持ちよかったれすよ♥
やっぱりハンターさんってえっちが上手なんれすねぇ♥
くひひひ♥","\n<Chocolat>That felt so good though♥
Our little hunter is just as good at sex as I had hoped♥
Kuheeheehee♥"
"\n<ベルーチェ>射精させて手籠めに出来ればよし。
一番被害の少ない方法で
\n[1]様を私達のものにするつもりでしたが・・・","\n<Velvet>It would have been preferable to make you ejaculate.
We were hoping to make \n[1] submit to us with
as little physical harm as possible, but..."
"\n<ベルーチェ>こうなれば仕方ありませんね。
暴力は好きではないのですが・・・
うふふ♥","\n<Velvet>I suppose there's no other way.
I simply detest violence...
Ufufu♥"
"\n<チョコレ>2体1れす。
力づくで\n[1]さんを倒しますね。","\n<Chocolat>2 on 1.
We'll bring down \n[1] by force."
"\n<リリー>どこまでも卑劣なやつら・・・
\n[1]！","\n<Lily>How low can these two get...
\n[1]!"
"\n<リリー>負けるんじゃないわよ！","\n<Lily>Don't you dare lose!"
"\n<シィナ>やっちまえ！","\n<Shina>Do it!"
"\n<ロメリア>剣持ったあにきは超強いよ。
今のうちに降参しといたら？","\n<Meria>Brother's unbeatable with a sword.
You sure you don't want to surrender?"
"\n<ライム>\n[1]・・・頑張って・・・
（どきどき。）","\n<Lime>\n[1]... You've got this...
(Ba-bump, ba-bump)"
"箱",
"<enemy:99><cw:1.3><ch:1.5>",
"箱のようなものがあるが
高くて手が届かない・・・","There's some kind of chest.
It's too high up to reach..."
"EV010",
"EV011",
"EV012",
"チョコレを倒すには・・・","How to defeat Chocolat..."
"答えを見る","See answer"
"やめておく","Stop"
"Aキーで攻撃してください。
何でもいいので当てると本性を表します。
イカせ合いでは倒せません。","Attack her with your A-key attack.
Any weapon will do.
She cannot be defeated in a sex battle."
