"自動実行","自動実行"
"リリー","Lily"
"シィナ","Shina"
"アーコイベ用","アーコイベ用"
"ライム","Lime"
"最初のイベント","最初のイベント"
"\n<ライム>やっぱりね！","\n<Lime>I knew it!"
"\n<ライム>逃げる時間そんなにないよなー、って思ってたの。
どこかに隠れてたのかな？
待ってたら来ると思ったよー！","\n<Lime>I didn't think he had much time to hide.
Was he hiding somewhere?
I thought he would come to me if I waited!"
"ーーーーー基本変更点ーーーーー","ーーーーーBasic Changesーーーーー"
"\n<ライム>にへへへへー♥
つーかまーえた♥","\n<Lime>Nihihihihi♥
Cauuuuuught you♥"
"\n<\n[3]>ぬるぬるして動きにくいでしょー。
早く逃げないと白いの出させちゃうぞー？","\n<\n[3]>It's hard to move when everything is so slippery right?
If you don't escape soon you'll let out your white
stuff you know?"
"\C[3]※捕まるとタイミングバーが表示されます。
\C[0]タイミングよく黄か赤で止めてください。
赤で止めると被ダメージが半減します。","\C[3]※A timing bar will display if you're caught.
\C[0]Go ahead and stop in the red or yellow areas.
Red areas will reduce damage taken by half."
"\n<\n[3]>むにゅー・・・♥
柔らかくて溶けちゃいそうでしょー♥
気持ちいい気持ちいいー♥","\n<\n[3]>Squeeze---...♥
They feel so soft you could melt right?♥
So plush, so pleasureable-♥"
"\n<\n[3]>あれー？もう出ちゃうのー？
おっぱい我慢できなかったー？あはは♥
じゃあ一回だけ、出しちゃおっかー♪","\n<\n[3]>Oh-? Are you gonna squirt already?
Couldn't you resist my boobies? Aha!♥
Alright then, I'm sure you can squirt just a little-♪"
"\n<\n[3]>あっあっ♥おっぱいの間でぴくぴくしてるー♥
おちんちん喜んでくれたみたい♥
うれしー♥","\n<\n[3]>Ahaha♥ I can feel it twitching in my cleavage♥
Your penis seems really happy♥
I'm happy too♥"
"\C[1]SAN値が1下がった・・・（現在SAN値\v[270]）","\C[1]Sanity decreased by 1... (Current Sanity: \v[270]）"
