"<Darkness:20>","<Darkness:20>"
"EV001","EV001"
"<CG拡大率:1,80,80>","<CG拡大率:1,80,80>"
"\n<フィリア>お腹空いた！","\n<フィリア>お腹空いた！"
"さっきご飯食べたじゃん","さっきご飯食べたじゃん"
"う・・・嫌な予感がする","う・・・嫌な予感がする"
"\n<フィリア>分かってる癖に！
いいから服脱いで。","\n<フィリア>分かってる癖に！
いいから服脱いで。"
"\n<フィリア>何その顔。
フィリアのこと馬鹿にしてるの？
ふーん。","\n<フィリア>何その顔。
フィリアのこと馬鹿にしてるの？
ふーん。"
"\n<フィリア>脱げ！","\n<フィリア>脱げ！"
"\n<フィリア>ばか！！
ばかばかばかばかばか！！！","\n<フィリア>ばか！！
ばかばかばかばかばか！！！"
"\n<フィリア>・・・","\n<フィリア>・・・"
"\n<フィリア>ばーか！！！","\n<フィリア>ばーか！！！"
"\n<フィリア>ベッドまで連れてってあげよ。
フィリアってばやさしー・・・","\n<フィリア>ベッドまで連れてってあげよ。
フィリアってばやさしー・・・"
"\n<フィリア>重い！無理！
フィリアしーらない。","\n<フィリア>重い！無理！
フィリアしーらない。"
"EV002","EV002"
"EV003","EV003"
"なめらかスライドon 0.06","なめらかスライドon 0.06"
"性別を選んでください。","Please select a gender."
"僕は・・・(男主人公)","I is he... (Male Protagonist)"
"私は・・・(女主人公)","I is she... (Female Protagonist)"
"主人公のセリフを表示しますか？","Should the dialogue of the main character be displayed？"
"主人公セリフあり(デフォルト)","Display the dialogue of the main character (Default)."
"主人公セリフ無し","Do not display any dialogue from the main character."
"喘ぎ声のタイプを選択してください。","Please select the type of heavy breathing."
"犯され(デフォルト)","Violated (Default)"
"メロメロ","Lovey Dovey"
"ん？誰か来たようだ・・・","Oh? It seems someone is here..."
"フィリア","Filia"
"マーガレット","Marguerite"
"startAutoBossHpGauge","startAutoBossHpGauge"
"EV004","EV004"
"EV005","EV005"
"今は着替えなくていいかな・・・","今は着替えなくていいかな・・・"
"EV006","EV006"
" <enemy:99>"," <enemy:99>"
"nwayAim 1 40 0 0.2 100 4 39 791","nwayAim 1 40 0 0.2 100 4 39 791"
"EV007","EV007"
"そういえばこの一番上に・・・","そういえばこの一番上に・・・"
"一応念のために持っておこうかな・・・","一応念のために持っておこうかな・・・"
