"自動実行","自動実行"
"ライム","Lime"
"シィナ","Shina"
"リリー","Lily"
"イベント実行","イベント実行"
"\n<リリー>なにやってんのあいつ。
遅いわねー。","\n<リリー>なにやってんのあいつ。
遅いわねー。"
"\n<ライム>ねー。","\n<ライム>ねー。"
"\n<リリー>あーそこそこ♥
そこ気持ちいい。","\n<リリー>あーそこそこ♥
そこ気持ちいい。"
"\n<ライム>ここー？","\n<ライム>ここー？"
"\n<シィナ>おい！！居なくなってるにゃ！！
牢屋も！！
バルコニーにロープにゃ！！！","\n<シィナ>おい！！居なくなってるにゃ！！
牢屋も！！
バルコニーにロープにゃ！！！"
"\n<リリー>はぁ！？
うっそでしょ！！
まじで言ってんの！？","\n<リリー>はぁ！？
うっそでしょ！！
まじで言ってんの！？"
"\n<シィナ>まじにゃん・・・
アーコも居ないし。
あのバカ・・・裏切ったにゃん！","\n<シィナ>まじにゃん・・・
アーコも居ないし。
あのバカ・・・裏切ったにゃん！"
"\n<リリー>\n[1]・・・！！
クソ・・・！！
覚えてなさいよ！！","\n<リリー>\n[1]・・・！！
クソ・・・！！
覚えてなさいよ！！"
"\n<リリー>今すぐ追いかけたいところだけど・・・
ぐぬぬ・・・
まずはあんたたちを元に戻さないと・・・","\n<リリー>今すぐ追いかけたいところだけど・・・
ぐぬぬ・・・
まずはあんたたちを元に戻さないと・・・"
"\n<ライム>私も負けっぱなしはやだー。
くやしいよー・・・","\n<ライム>私も負けっぱなしはやだー。
くやしいよー・・・"
"\n<シィナ>勝ち逃げは許されんにゃ・・・
こんな屈辱初めてにゃん。
ぶち殺してやるし。","\n<シィナ>勝ち逃げは許されんにゃ・・・
こんな屈辱初めてにゃん。
ぶち殺してやるし。"
"\n<リリー>ええ・・・
地の果てまでも追い詰めて・・・
必ず搾りカスにしてやるわ・・・！！","\n<リリー>ええ・・・
地の果てまでも追い詰めて・・・
必ず搾りカスにしてやるわ・・・！！"
"ED1　トゥルーエンド","ED1　トゥルーエンド"
