"自動実行","自動実行"
"食糧庫ドア","食糧庫ドア"
"扉","扉"
" <enemy:99><cw:1.5><ch:1.5>"," <enemy:99><cw:1.5><ch:1.5>"
"不思議な形のドアだ。
おそらく機械仕掛けというやつだろう。
開け方が分からない。","不思議な形のドアだ。
おそらく機械仕掛けというやつだろう。
開け方が分からない。"
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",""
"小説","小説"
"檻だ・・・
格子には至る所に噛み跡が付いている・・・","檻だ・・・
格子には至る所に噛み跡が付いている・・・"
"\n<\n[1]>（よっぽど出たかったんだね。
私も・・・ここから逃げないと・・・）","\n<\n[1]>（よっぽど出たかったんだね。
私も・・・ここから逃げないと・・・）"
"\n<\n[1]>（猫のケージだろうか・・・
猫・・・？
いやまさかな。）","\n<\n[1]>（猫のケージだろうか・・・
猫・・・？
いやまさかな。）"
"窓からは森が見える・・・","窓からは森が見える・・・"
"\n<\n[1]>（開かない。
開いても飛び降りられる高さじゃない・・・）","\n<\n[1]>（開かない。
開いても飛び降りられる高さじゃない・・・）"
"槍が立てかけてある・・・","槍が立てかけてある・・・"
"\n<\n[1]>（使ったことはないけれど・・・
持って行ってみようかな。）","\n<\n[1]>（使ったことはないけれど・・・
持って行ってみようかな。）"
"\n<\n[1]>（槍か・・・
扱えないことはないけど、室内ではあまり役に立たないかも。
一応持っていこう。）","\n<\n[1]>（槍か・・・
扱えないことはないけど、室内ではあまり役に立たないかも。
一応持っていこう。）"
"先っぽが折れてしまった・・・","先っぽが折れてしまった・・・"
"\n<\n[1]>（もう槍はいいや。）","\n<\n[1]>（もう槍はいいや。）"
"\n<\n[1]>（先っぽだけ取れてしまった・・・）","\n<\n[1]>（先っぽだけ取れてしまった・・・）"
"騎士の象・・・","騎士の象・・・"
"\n<\n[1]>（こんなの部屋に置きたくないよ。）","\n<\n[1]>（こんなの部屋に置きたくないよ。）"
"\n<\n[1]>（これはいいな。部屋に飾りたい・・・）","\n<\n[1]>（これはいいな。部屋に飾りたい・・・）"
"これは・・・！
自分の装備一式だ！！
こんなところに・・・！！","これは・・・！
自分の装備一式だ！！
こんなところに・・・！！"
