"自動実行","自動実行"
"食糧庫ドア","食糧庫ドア"
"リリーの日記","リリーの日記"
"リリーの日記
恋ってなに？","リリーの日記
恋ってなに？"
"読んでみる","読んでみる"
"やめておく","やめておく"
"EV004","EV004"
"--------キャラ指定-----座標設定------------",""
"----------------------------------------",""
"何か使えそうなものは・・・","何か使えそうなものは・・・"
"氷の魔導書・・・
何かを凍らせることが出来そうだ。","氷の魔導書・・・
何かを凍らせることが出来そうだ。"
"\n<リリー>ちょっと！
人の本棚探らないでよ！！
バカ！！","\n<リリー>ちょっと！
人の本棚探らないでよ！！
バカ！！"
"\n<リリー>これはオシオキが必要みたいね。","\n<リリー>これはオシオキが必要みたいね。"
"ーーーーー待機or攻撃アニメSE選択ーーーーー",""
"--------ここから誘惑------------",""
"\n<\n[3]>ほら！ごめんなさいは？
人の本棚勝手に漁ってごめんなさいって
言いなさいよ。","\n<\n[3]>ほら！ごめんなさいは？
人の本棚勝手に漁ってごめんなさいって
言いなさいよ。"
"\n<\n[3]>がっちがちに勃起させちゃって。何コレ。
はーん。なるほどね♥
こうされたくて、わざと私を怒らせたの。","\n<\n[3]>がっちがちに勃起させちゃって。何コレ。
はーん。なるほどね♥
こうされたくて、わざと私を怒らせたの。"
"\n<\n[3]>ドマゾ。
なに感じてんの気持ち悪い♥
ほら♥嫌なら逃げてみなさいよ♥ほらほらほら♥","\n<\n[3]>ドマゾ。
なに感じてんの気持ち悪い♥
ほら♥嫌なら逃げてみなさいよ♥ほらほらほら♥"
"--------ここから選択肢-------------",""
"\n<\n[3]>あっは♥
チンポ気持ちよくて逃げられないの？
踏まれてるのに♥","\n<\n[3]>あっは♥
チンポ気持ちよくて逃げられないの？
踏まれてるのに♥"
"\n<\n[3]>ダメよ。逃がさない。
ほら出してみなさいよ。
あんたの精液、一匹残らず踏みつぶしてあげるから。","\n<\n[3]>ダメよ。逃がさない。
ほら出してみなさいよ。
あんたの精液、一匹残らず踏みつぶしてあげるから。"
"\n<\n[3]>はぁ？もうイクの？","\n<\n[3]>はぁ？もうイクの？"
"--------ここからクリア------------",""
"\n<リリー>くくく♥
おもしろ♥
その馬鹿ヅラ見てたら満足したわ♥くすくす♥","\n<リリー>くくく♥
おもしろ♥
その馬鹿ヅラ見てたら満足したわ♥くすくす♥"
